Iteration,Time(ms),Cost,Temperature
2000,281,7575.0,4495.300834146898
3000,337,7802.0,4275.624129394273
9000,546,8437.0,3190.6206242707835
10000,589,7861.0,3035.915315718574
12000,657,8676.0,2761.8706874814134
20000,937,7389.0,1891.1579230905431
24000,1052,7516.0,1570.9492014388843
28000,1177,8381.0,1314.5193861169957
29000,1215,7654.0,1250.6565117185812
31000,1289,7424.0,1140.9531761794287
32000,1324,7585.0,1083.4619756055836
36000,1483,9166.0,904.1612159460425
38000,1541,7565.0,832.7250914605871
40000,1612,7534.0,757.1026195816677
47000,1849,7421.0,559.2986925186756
48000,1894,6644.0,532.7121537047511
49000,1932,6962.0,511.1071007820776
51000,2008,7419.0,468.7055886231899
52000,2054,7268.0,448.79789251752567
56000,2198,7456.0,378.6696400453297
60000,2323,7253.0,319.2439765540933
62000,2382,8901.0,294.49192753723156
66000,2520,6576.0,250.07063461892915
73000,3050,6558.0,186.25723189074557
76000,3487,6272.0,164.25537807088813
77000,3649,7582.0,157.3889711960179
79000,3938,6719.0,144.57754679213335
81000,4246,6378.0,132.71603086038243
83000,4445,6314.0,122.38939070193001
85000,4616,6524.0,113.30732686736239
87000,4795,7047.0,104.89920938567802
91000,5229,6636.0,88.81820657506307
98000,5952,5934.0,66.79160553691564
102000,5988,5460.0,57.712287255429686
103000,5999,5494.0,55.732772906559624
107000,6030,5494.0,47.43974127248711
110000,6069,5083.0,41.89029094871636
112000,6095,4974.0,38.58061565390368
113000,6110,4916.0,37.045538830764194
116000,6141,4873.0,32.91873766939518
125000,6211,4905.0,23.29001501327254
127000,6231,4729.0,21.702364077668097
132000,6275,4726.0,17.764661724639463
137000,6309,4691.0,14.891675522014559
144000,6353,4758.0,11.40200270830603
146000,6366,4730.0,10.348940743134264
148000,6380,4722.0,9.418534097492143
154000,6420,4685.0,7.296295069910668
159000,6460,4673.0,5.91774949620979
161000,6482,4585.0,5.433328630910448
162000,6488,4610.0,5.218708401072532
165000,6513,4549.0,4.610534265931415
169000,6548,4510.0,3.952451592074136
172000,6589,4467.0,3.5065409148278395
173000,6603,4461.0,3.343866198626768
176000,6626,4459.0,2.956841186069456
177000,6637,4458.0,2.838056484609221
178000,6647,4460.0,2.7012564357337263
184000,6708,4461.0,2.0682516987785307
185000,6717,4463.0,1.9849656422737727
189000,6751,4463.0,1.6644467729560428
190000,6756,4462.0,1.5929547174678695
193000,6777,4469.0,1.387472434088431
194000,6782,4466.0,1.331067995294257
196000,6794,4466.0,1.2321711349729816
198000,6809,4466.0,1.1243141253923759
200000,6820,4462.0,1.0319692789229173
204000,6849,4459.0,0.8687153980811004
206000,6870,4449.0,0.8027245398275562
210000,6901,4443.0,0.6745210717412945
213000,6927,4442.0,0.5971072946577352
219000,6984,4420.0,0.45127766685415227
220000,6992,4420.0,0.43180781397879175
223000,7019,4420.0,0.3770485027781739
224000,7028,4420.0,0.36034848193343094
226000,7045,4420.0,0.33095000223626914
228000,7068,4418.0,0.3024944160683602
229000,7076,4418.0,0.28918324932350353
232000,7099,4417.0,0.25420832866575666
238000,7150,4416.0,0.19250848323613384
243000,7192,4415.0,0.1556842014505454
246000,7219,4414.0,0.13585970811748102
247000,7229,4414.0,0.12972547478742202
251000,7261,4414.0,0.10818161169404711
254000,7278,4414.0,0.1
255000,7287,4414.0,0.1
256000,7297,4414.0,0.1
259000,7320,4414.0,0.1
261000,7340,4414.0,0.1
262000,7349,4414.0,0.1
264000,7368,4414.0,0.1
265000,7378,4414.0,0.1
266000,7388,4414.0,0.1
267000,7398,4414.0,0.1
269000,7416,4414.0,0.1
271000,7434,4414.0,0.1
272000,7443,4414.0,0.1
273000,7451,4414.0,0.1
274000,7460,4414.0,0.1
276000,7474,4414.0,0.1
280000,7498,4414.0,0.1
283000,7513,4414.0,0.1
286000,7536,4414.0,0.1
288000,7555,4414.0,0.1
292000,7592,4414.0,0.1
294000,7607,4414.0,0.1
296000,7617,4414.0,0.1
297000,7626,4414.0,0.1
300000,7654,4414.0,0.1
301000,7665,4414.0,0.1
302000,7672,4414.0,0.1
303000,7679,4414.0,0.1
305000,7691,4414.0,0.1
306000,7699,4414.0,0.1
311000,7746,4414.0,0.1
313000,7765,4414.0,0.1
314000,7774,4414.0,0.1
317000,7803,4414.0,0.1
321000,7838,4414.0,0.1
322000,7847,4414.0,0.1
325000,7875,4414.0,0.1
326000,7884,4414.0,0.1
327000,7893,4414.0,0.1
328000,7901,4414.0,0.1
329000,7905,4414.0,0.1
332000,7923,4414.0,0.1
334000,7934,4414.0,0.1
335000,7941,4414.0,0.1
339000,7978,4414.0,0.1
340000,7987,4414.0,0.1
341000,7995,4414.0,0.1
343000,8014,4414.0,0.1
344000,8023,4414.0,0.1
346000,8048,4414.0,0.1
353000,8095,4414.0,0.1
354000,8101,4414.0,0.1
358000,8135,4414.0,0.1
359000,8144,4414.0,0.1
361000,8157,4414.0,0.1
368000,8196,4414.0,0.1
373000,8228,4414.0,0.1
375000,8242,4414.0,0.1
377000,8258,4414.0,0.1
378000,8266,4414.0,0.1
379000,8272,4414.0,0.1
380000,8276,4414.0,0.1
381000,8284,4414.0,0.1
383000,8298,4414.0,0.1
384000,8305,4414.0,0.1
386000,8323,4414.0,0.1
387000,8333,4414.0,0.1
389000,8349,4414.0,0.1
390000,8357,4414.0,0.1
391000,8365,4414.0,0.1
392000,8375,4414.0,0.1
397000,8406,4414.0,0.1
398000,8412,4414.0,0.1
399000,8417,4414.0,0.1
403000,8442,4414.0,0.1
408000,8471,4414.0,0.1
411000,8488,4414.0,0.1
413000,8500,4414.0,0.1
414000,8505,4414.0,0.1
415000,8510,4414.0,0.1
416000,8516,4414.0,0.1
417000,8522,4414.0,0.1
418000,8528,4414.0,0.1
420000,8538,4414.0,0.1
421000,8544,4414.0,0.1
422000,8552,4414.0,0.1
423000,8560,4414.0,0.1
426000,8585,4414.0,0.1
431000,8634,4414.0,0.1
432000,8641,4414.0,0.1
434000,8658,4414.0,0.1
435000,8667,4414.0,0.1
436000,8676,4414.0,0.1
437000,8684,4414.0,0.1
440000,8699,4414.0,0.1
442000,8710,4414.0,0.1
443000,8716,4414.0,0.1
447000,8738,4414.0,0.1
448000,8744,4414.0,0.1
450000,8755,4414.0,0.1
451000,8760,4414.0,0.1
454000,8779,4414.0,0.1
456000,8789,4414.0,0.1
460000,8819,4414.0,0.1
461000,8828,4414.0,0.1
463000,8847,4414.0,0.1
466000,8876,4414.0,0.1
472000,8912,4414.0,0.1
473000,8917,4414.0,0.1
479000,8956,4414.0,0.1
482000,8973,4414.0,0.1
484000,8983,4414.0,0.1
485000,8990,4414.0,0.1
489000,9018,4414.0,0.1
491000,9032,4414.0,0.1
492000,9039,4414.0,0.1
496000,9060,4414.0,0.1
498000,9073,4414.0,0.1
499000,9078,4414.0,0.1
503000,9099,4414.0,0.1
506000,9125,4414.0,0.1
507000,9135,4414.0,0.1
512000,9178,4414.0,0.1
513000,9187,4414.0,0.1
515000,9202,4414.0,0.1
519000,9239,4414.0,0.1
526000,9301,4414.0,0.1
528000,9314,4414.0,0.1
530000,9329,4414.0,0.1
532000,9345,4414.0,0.1
533000,9351,4414.0,0.1
536000,9376,4414.0,0.1
538000,9393,4414.0,0.1
539000,9405,4414.0,0.1
540000,9414,4414.0,0.1
543000,9435,4414.0,0.1
545000,9449,4414.0,0.1
551000,9501,4414.0,0.1
553000,9515,4414.0,0.1
557000,9551,4414.0,0.1
558000,9562,4414.0,0.1
565000,9623,4414.0,0.1
566000,9629,4414.0,0.1
570000,9665,4414.0,0.1
571000,9674,4414.0,0.1
572000,9684,4414.0,0.1
573000,9693,4414.0,0.1
574000,9703,4414.0,0.1
576000,9717,4414.0,0.1
578000,9735,4414.0,0.1
583000,9776,4414.0,0.1
584000,9783,4414.0,0.1
585000,9791,4414.0,0.1
586000,9800,4414.0,0.1
587000,9809,4414.0,0.1
589000,9826,4414.0,0.1
590000,9836,4414.0,0.1
593000,9861,4414.0,0.1
595000,9871,4414.0,0.1
597000,9883,4414.0,0.1
599000,9901,4414.0,0.1
600000,9909,4414.0,0.1
601000,9918,4414.0,0.1
602000,9928,4414.0,0.1
605000,9952,4414.0,0.1
606000,9961,4414.0,0.1
608000,9976,4414.0,0.1
613000,10019,4414.0,0.1
