Iteration,Time(ms),Cost,Temperature
1000,145,11047.0,4671.75365979212
2000,226,7829.0,4366.366230438736
4000,380,12684.0,3809.9814544489413
5000,445,6327.0,3564.133569451513
6000,508,26393.0,3343.498758160174
7000,575,14559.0,3125.250424656384
8000,639,9216.0,2921.2483459062155
9000,699,10388.0,2729.743504580266
11000,848,5807.0,2381.19108876673
12000,908,5322.0,2230.4370431459947
13000,975,7410.0,2082.5521140812193
14000,1051,9697.0,1945.0558752387644
15000,1138,7141.0,1812.2826241507248
18000,1357,3872.0,1481.5326012819232
20000,1485,4509.0,1295.3363328686642
21000,1546,5400.0,1212.1153516058173
22000,1605,5616.0,1133.2206284075517
24000,1751,4147.0,988.3255336831664
26000,1870,5812.0,861.6983570064478
28000,1999,4194.0,751.6707871878208
32000,2262,4052.0,575.2962204866425
33000,2322,5702.0,537.52844470461
34000,2398,4442.0,501.7380816102543
35000,2454,3902.0,471.24357209080074
36000,2506,3530.0,439.8666678224504
37000,2556,4012.0,410.2916191475212
39000,2676,4264.0,358.33252734828903
41000,2798,4172.0,312.60942790438094
43000,2919,4076.0,272.9115600182641
44000,2973,3856.0,255.02061792477284
45000,3035,3584.0,238.46940979225317
46000,3093,3942.0,223.19319262552517
47000,3170,4468.0,208.51986882550767
50000,3340,3487.0,170.8907357690964
53000,3518,3538.0,139.20033082010895
54000,3584,3677.0,130.1660273733231
55000,3658,3569.0,121.29277353362387
56000,3736,3475.0,113.50012279309671
58000,3882,3391.0,99.03735511345927
59000,3936,3668.0,92.8322283845793
62000,4118,3330.0,75.98864015434634
63000,4179,3701.0,70.9432613915363
64000,4239,3417.0,66.292517460446
65000,4305,3647.0,61.96524459270466
67000,4446,3472.0,53.918125488321614
68000,4500,3562.0,50.31801912651023
69000,4554,3420.0,47.01937993954682
70000,4614,3496.0,43.9106301595353
71000,4679,3237.0,41.05255480613904
73000,4839,3093.0,35.97220169254627
74000,4915,3108.0,33.536787133899765
76000,5051,3208.0,29.410048283347162
77000,5114,3106.0,27.534316489631763
78000,5191,2960.0,25.708705471634623
79000,5257,2936.0,23.980144816068176
80000,5341,2935.0,22.430527108091642
81000,5409,2955.0,20.930750389642032
84000,5599,2912.0,17.074894169949243
85000,5674,2754.0,15.95234447181815
86000,5741,2777.0,14.8976336816888
88000,5895,2639.0,13.043575863752508
89000,5964,2608.0,12.153196314614197
90000,6039,2663.0,11.359891147105033
91000,6114,2614.0,10.599272491603163
98000,6663,2491.0,6.578202385401102
100000,6830,2351.0,5.7348101933732485
102000,6987,2342.0,4.998049710237876
103000,7047,2339.0,4.6689974655436455
104000,7120,2324.0,4.367282809247826
105000,7142,2345.0,4.083839818098135
106000,7153,2343.0,3.814594116092329
108000,7191,2272.0,3.3381861714740997
112000,7251,2251.0,2.546994587999727
113000,7264,2261.0,2.3769320842180788
114000,7279,2254.0,2.2242222316304527
115000,7296,2251.0,2.080491066408292
116000,7313,2247.0,1.9415769432626249
117000,7332,2227.0,1.8141138380910347
119000,7364,2229.0,1.5843755177142291
121000,7415,2196.0,1.384561653824449
123000,7453,2186.0,1.2076505268045736
125000,7478,2186.0,1.0537655037971034
126000,7492,2186.0,0.9833073749406442
127000,7506,2187.0,0.9166431542164555
128000,7519,2187.0,0.8576661545390845
129000,7531,2188.0,0.8022430254962875
130000,7567,2181.0,0.7515278900824188
131000,7586,2167.0,0.7031041213232226
132000,7600,2166.0,0.6566831114753007
133000,7615,2164.0,0.6130816597608872
134000,7632,2162.0,0.5727187366166956
135000,7651,2151.0,0.5351201707641131
138000,7699,2123.0,0.4370209848737671
140000,7727,2118.0,0.3821734292313552
141000,7739,2118.0,0.3576916128617956
142000,7755,2111.0,0.3348450536340065
143000,7771,2107.0,0.31323840036758605
144000,7790,2104.0,0.2925574764087767
145000,7803,2104.0,0.2736795270866618
149000,7861,2073.0,0.2087305669172605
150000,7887,2056.0,0.1950080552254417
154000,7942,2054.0,0.14832817025859824
157000,7986,1985.0,0.12118485171490882
158000,8009,1974.0,0.11326313044345064
162000,8069,1960.0,0.1
164000,8096,1960.0,0.1
165000,8111,1959.0,0.1
167000,8140,1955.0,0.1
169000,8173,1955.0,0.1
170000,8187,1955.0,0.1
171000,8203,1953.0,0.1
172000,8217,1953.0,0.1
173000,8232,1952.0,0.1
174000,8244,1952.0,0.1
175000,8261,1947.0,0.1
176000,8276,1947.0,0.1
179000,8324,1946.0,0.1
180000,8340,1946.0,0.1
182000,8367,1945.0,0.1
184000,8396,1945.0,0.1
186000,8422,1943.0,0.1
187000,8439,1942.0,0.1
188000,8452,1942.0,0.1
189000,8467,1942.0,0.1
190000,8481,1942.0,0.1
191000,8497,1940.0,0.1
192000,8509,1940.0,0.1
194000,8541,1940.0,0.1
195000,8558,1940.0,0.1
196000,8575,1940.0,0.1
198000,8607,1938.0,0.1
200000,8630,1938.0,0.1
202000,8659,1938.0,0.1
204000,8691,1938.0,0.1
205000,8708,1938.0,0.1
207000,8739,1938.0,0.1
208000,8752,1938.0,0.1
209000,8765,1938.0,0.1
210000,8777,1938.0,0.1
212000,8801,1938.0,0.1
213000,8813,1938.0,0.1
214000,8830,1938.0,0.1
216000,8857,1938.0,0.1
217000,8870,1938.0,0.1
218000,8884,1938.0,0.1
219000,8900,1938.0,0.1
220000,8912,1938.0,0.1
222000,8938,1938.0,0.1
223000,8952,1938.0,0.1
225000,8979,1938.0,0.1
226000,8994,1938.0,0.1
227000,9008,1938.0,0.1
228000,9022,1938.0,0.1
229000,9038,1938.0,0.1
230000,9053,1938.0,0.1
231000,9069,1938.0,0.1
232000,9082,1938.0,0.1
235000,9115,1938.0,0.1
237000,9137,1938.0,0.1
238000,9151,1938.0,0.1
239000,9165,1938.0,0.1
241000,9193,1938.0,0.1
242000,9209,1938.0,0.1
244000,9239,1938.0,0.1
245000,9251,1938.0,0.1
246000,9263,1938.0,0.1
247000,9276,1938.0,0.1
248000,9286,1938.0,0.1
250000,9314,1938.0,0.1
251000,9327,1938.0,0.1
253000,9352,1938.0,0.1
254000,9366,1938.0,0.1
257000,9403,1938.0,0.1
259000,9432,1938.0,0.1
260000,9447,1938.0,0.1
261000,9461,1938.0,0.1
262000,9476,1935.0,0.1
263000,9493,1935.0,0.1
264000,9504,1935.0,0.1
265000,9514,1935.0,0.1
266000,9528,1935.0,0.1
267000,9546,1929.0,0.1
269000,9575,1929.0,0.1
270000,9587,1929.0,0.1
271000,9601,1929.0,0.1
275000,9670,1928.0,0.1
276000,9684,1928.0,0.1
277000,9700,1926.0,0.1
278000,9713,1926.0,0.1
282000,9770,1926.0,0.1
283000,9784,1926.0,0.1
284000,9799,1926.0,0.1
285000,9814,1926.0,0.1
286000,9828,1926.0,0.1
288000,9857,1926.0,0.1
289000,9873,1926.0,0.1
290000,9887,1926.0,0.1
291000,9900,1926.0,0.1
293000,9931,1926.0,0.1
294000,9944,1926.0,0.1
295000,9962,1926.0,0.1
296000,9973,1926.0,0.1
297000,9986,1926.0,0.1
300000,10021,1926.0,0.1
304000,10077,1926.0,0.1
305000,10089,1926.0,0.1
306000,10103,1926.0,0.1
307000,10118,1926.0,0.1
308000,10136,1926.0,0.1
310000,10166,1926.0,0.1
311000,10181,1926.0,0.1
312000,10196,1926.0,0.1
313000,10215,1926.0,0.1
317000,10267,1926.0,0.1
318000,10281,1926.0,0.1
319000,10296,1926.0,0.1
323000,10344,1926.0,0.1
325000,10373,1926.0,0.1
327000,10400,1926.0,0.1
331000,10453,1926.0,0.1
334000,10488,1926.0,0.1
335000,10499,1926.0,0.1
336000,10511,1926.0,0.1
338000,10537,1926.0,0.1
346000,10634,1926.0,0.1
347000,10650,1926.0,0.1
349000,10675,1926.0,0.1
350000,10688,1926.0,0.1
351000,10701,1926.0,0.1
354000,10740,1926.0,0.1
355000,10751,1926.0,0.1
356000,10760,1926.0,0.1
357000,10771,1926.0,0.1
358000,10783,1926.0,0.1
359000,10798,1926.0,0.1
360000,10810,1926.0,0.1
362000,10834,1926.0,0.1
363000,10844,1926.0,0.1
364000,10857,1926.0,0.1
365000,10868,1926.0,0.1
366000,10882,1926.0,0.1
367000,10895,1926.0,0.1
368000,10907,1926.0,0.1
369000,10922,1926.0,0.1
371000,10949,1926.0,0.1
372000,10961,1926.0,0.1
373000,10975,1926.0,0.1
376000,11014,1926.0,0.1
378000,11040,1926.0,0.1
379000,11055,1926.0,0.1
380000,11072,1926.0,0.1
381000,11090,1926.0,0.1
386000,11155,1926.0,0.1
388000,11179,1926.0,0.1
389000,11192,1926.0,0.1
390000,11203,1926.0,0.1
392000,11225,1926.0,0.1
393000,11238,1926.0,0.1
394000,11252,1926.0,0.1
395000,11266,1926.0,0.1
396000,11277,1926.0,0.1
397000,11289,1926.0,0.1
398000,11302,1926.0,0.1
399000,11313,1926.0,0.1
400000,11324,1926.0,0.1
401000,11339,1926.0,0.1
402000,11352,1926.0,0.1
403000,11367,1926.0,0.1
405000,11389,1926.0,0.1
406000,11400,1926.0,0.1
407000,11414,1926.0,0.1
410000,11448,1926.0,0.1
412000,11472,1926.0,0.1
413000,11484,1926.0,0.1
416000,11526,1926.0,0.1
417000,11536,1926.0,0.1
418000,11548,1926.0,0.1
419000,11559,1926.0,0.1
421000,11581,1926.0,0.1
422000,11596,1926.0,0.1
423000,11607,1926.0,0.1
425000,11629,1926.0,0.1
426000,11639,1926.0,0.1
428000,11661,1926.0,0.1
429000,11672,1926.0,0.1
431000,11694,1926.0,0.1
432000,11707,1926.0,0.1
434000,11732,1926.0,0.1
435000,11744,1926.0,0.1
436000,11755,1926.0,0.1
437000,11765,1926.0,0.1
439000,11788,1926.0,0.1
440000,11797,1926.0,0.1
441000,11808,1926.0,0.1
444000,11840,1926.0,0.1
446000,11862,1926.0,0.1
448000,11886,1926.0,0.1
449000,11899,1926.0,0.1
450000,11910,1926.0,0.1
451000,11922,1926.0,0.1
452000,11933,1926.0,0.1
453000,11946,1926.0,0.1
457000,12001,1926.0,0.1
458000,12015,1926.0,0.1
459000,12030,1926.0,0.1
460000,12041,1926.0,0.1
461000,12053,1926.0,0.1
463000,12082,1926.0,0.1
464000,12096,1926.0,0.1
465000,12108,1926.0,0.1
466000,12122,1926.0,0.1
467000,12139,1926.0,0.1
468000,12152,1926.0,0.1
469000,12167,1926.0,0.1
470000,12178,1926.0,0.1
471000,12191,1926.0,0.1
472000,12202,1926.0,0.1
474000,12225,1926.0,0.1
476000,12248,1926.0,0.1
477000,12259,1926.0,0.1
478000,12274,1926.0,0.1
479000,12285,1926.0,0.1
480000,12296,1926.0,0.1
481000,12313,1926.0,0.1
482000,12331,1926.0,0.1
483000,12342,1926.0,0.1
484000,12356,1926.0,0.1
