Iteration,Time(ms),Cost,Temperature
1000,483,60394.0,4675.025195837524
2000,948,60025.0,4359.82126379152
3000,1395,59832.0,4069.937413216035
4000,1760,59578.0,3809.9814544489413
5000,2165,59577.0,3561.6394242962137
7000,2903,58706.0,3124.312943283375
8000,3108,57704.0,2912.7885753040655
11000,3395,55769.0,2374.532746824591
14000,3720,54559.0,1932.4533843834051
16000,3894,54441.0,1683.0093467279223
18000,4063,53464.0,1460.2043159069742
19000,4154,53070.0,1363.524570217866
20000,4239,53402.0,1276.3055785613142
21000,4323,54243.0,1193.7102247297346
22000,4388,53888.0,1114.78646173462
24000,4531,53243.0,975.3647181692698
25000,4605,52753.0,906.0620447141685
26000,4693,53789.0,845.2262225246963
27000,4762,53837.0,789.6587659124369
28000,4824,53091.0,737.9658317143562
29000,4899,53028.0,688.9674929172867
30000,4957,53105.0,642.5795385894303
32000,5107,51968.0,560.5305658006372
34000,5299,50867.0,489.007070596024
37000,5501,50558.0,398.84256216714124
38000,5590,50373.0,372.62157401305296
39000,5683,50699.0,347.08156415387333
42000,5882,50449.0,283.11399390165775
43000,5953,50246.0,264.5277674296865
47000,6262,48322.0,200.6440425861872
48000,6333,48310.0,187.02249251739534
52000,6594,48850.0,142.73865625474645
55000,6808,48279.0,116.45503162832934
56000,6874,47835.0,108.66847608548288
58000,7085,47222.0,95.20144575768911
63000,7544,46325.0,67.70622240053956
64000,7613,46292.0,63.19180574709132
65000,7695,46045.0,59.090565864211015
66000,7761,45956.0,55.216835150578156
67000,7832,45913.0,51.58157247722148
72000,8340,44104.0,36.57069695265233
73000,8456,43535.0,34.10840397451151
74000,8518,43596.0,31.881963091964977
75000,8594,43187.0,29.77702176424546
76000,8673,43061.0,27.702797589310308
77000,8754,42793.0,25.83499359616818
79000,8914,41997.0,22.542966229224884
82000,9195,40838.0,18.33868526892519
84000,9362,40643.0,15.917286139340938
85000,9448,40266.0,14.827775605505334
86000,9525,40264.0,13.839110830632958
87000,9611,40007.0,12.893137093537014
89000,9748,39790.0,11.228871243375902
90000,9834,39725.0,10.492753340649275
91000,9919,39705.0,9.771610566477426
93000,10156,38844.0,8.505171244060511
94000,10231,38445.0,7.954764162793016
96000,10407,38205.0,6.931416056459958
97000,10484,38059.0,6.471841564107458
98000,10575,38038.0,6.042134019433712
99000,10675,37805.0,5.622372139789451
103000,11022,37365.0,4.273956388201029
104000,11110,37134.0,3.9961707601501044
106000,11282,36553.0,3.4866094935433023
107000,11376,36531.0,3.254134435806255
110000,11606,36433.0,2.6594417471785885
111000,11687,36171.0,2.486840118996317
114000,11920,36140.0,2.029323954777918
116000,12082,35898.0,1.7730406603964
118000,12251,35751.0,1.5432475881803085
119000,12327,35680.0,1.4396291479017684
121000,12448,35296.0,1.2554306972689704
122000,12507,35247.0,1.1719573017705314
123000,12582,35247.0,1.0932684454829267
125000,12760,35101.0,0.9512910926669805
126000,12844,34947.0,0.8882175276940015
128000,13010,34819.0,0.7731783459220088
129000,13088,34599.0,0.7214090229308963
130000,13160,34573.0,0.672029830849613
131000,13250,34453.0,0.6272212068792203
132000,13353,34383.0,0.5865136404688442
133000,13437,34277.0,0.5475711951282047
134000,13515,34177.0,0.5114700752514918
135000,13612,34109.0,0.478131457106252
136000,13700,34051.0,0.44701061624667016
138000,13846,33991.0,0.39094842420370207
139000,13943,33952.0,0.3648813359171392
140000,14032,33929.0,0.3400758474316461
141000,14115,33922.0,0.3178136765263085
143000,14275,33779.0,0.2768451674753882
145000,14449,33721.0,0.24178565663060136
146000,14541,33644.0,0.22586742498792708
147000,14626,33581.0,0.21118718054750057
148000,14707,33390.0,0.1972045325812471
150000,14850,33205.0,0.17195530289275765
151000,14925,33135.0,0.16077907471630326
152000,14987,32818.0,0.15028415078864374
153000,15047,32799.0,0.14001146336763284
154000,15116,32587.0,0.13054536621992535
155000,15198,32465.0,0.12218270299103177
156000,15259,32464.0,0.11400177572058798
158000,15393,32337.0,0.1
159000,15497,32278.0,0.1
160000,15570,32244.0,0.1
161000,15660,32233.0,0.1
162000,15723,32173.0,0.1
163000,15789,32171.0,0.1
164000,15870,32032.0,0.1
165000,15940,31999.0,0.1
167000,16099,31810.0,0.1
169000,16255,31727.0,0.1
170000,16321,31658.0,0.1
171000,16395,31527.0,0.1
173000,16576,31456.0,0.1
175000,16741,31376.0,0.1
177000,16897,31195.0,0.1
178000,16974,31143.0,0.1
179000,17062,31131.0,0.1
180000,17144,31083.0,0.1
181000,17218,31082.0,0.1
182000,17305,31013.0,0.1
183000,17377,31010.0,0.1
184000,17476,30910.0,0.1
185000,17580,30894.0,0.1
187000,17764,30832.0,0.1
188000,17864,30814.0,0.1
189000,17951,30814.0,0.1
190000,18049,30806.0,0.1
191000,18147,30806.0,0.1
192000,18248,30783.0,0.1
193000,18339,30780.0,0.1
194000,18425,30780.0,0.1
195000,18514,30780.0,0.1
196000,18596,30778.0,0.1
201000,19074,30640.0,0.1
203000,19274,30627.0,0.1
204000,19375,30622.0,0.1
205000,19473,30489.0,0.1
206000,19592,30369.0,0.1
207000,19685,30356.0,0.1
208000,19766,30356.0,0.1
210000,19985,30087.0,0.1
211000,20073,30078.0,0.1
215000,20422,30050.0,0.1
217000,20584,30044.0,0.1
220000,20811,29942.0,0.1
221000,20903,29931.0,0.1
222000,20993,29855.0,0.1
223000,21055,29748.0,0.1
224000,21126,29733.0,0.1
225000,21184,29676.0,0.1
226000,21263,29673.0,0.1
233000,21802,29532.0,0.1
234000,21883,29532.0,0.1
235000,21970,29530.0,0.1
236000,22074,29513.0,0.1
237000,22160,29390.0,0.1
238000,22229,29390.0,0.1
240000,22386,29386.0,0.1
241000,22455,29320.0,0.1
244000,22669,29286.0,0.1
245000,22754,29286.0,0.1
246000,22845,29284.0,0.1
251000,23178,29174.0,0.1
252000,23239,29172.0,0.1
255000,23448,29142.0,0.1
256000,23512,29082.0,0.1
257000,23570,29063.0,0.1
258000,23632,29063.0,0.1
259000,23706,29063.0,0.1
261000,23847,29052.0,0.1
262000,23910,29052.0,0.1
263000,23985,29051.0,0.1
264000,24071,29049.0,0.1
265000,24154,29049.0,0.1
266000,24234,28998.0,0.1
268000,24368,28995.0,0.1
270000,24511,28950.0,0.1
273000,24746,28865.0,0.1
274000,24812,28865.0,0.1
275000,24914,28832.0,0.1
276000,24979,28823.0,0.1
282000,25384,28751.0,0.1
287000,25703,28682.0,0.1
290000,25917,28652.0,0.1
