Iteration,Time(ms),Cost,Temperature
2000,4056,120616.0,4427.92836520441
3000,4386,120793.0,4202.288348746029
4000,4719,119681.0,4014.5567255258325
5000,5493,119572.0,3808.0768446817647
6000,5677,119793.0,3615.469422835324
7000,5833,119844.0,3437.75685338306
9000,6105,118926.0,3135.894893675187
10000,6384,116887.0,2978.4767458116908
11000,6599,115024.0,2829.8096574361466
12000,6755,114224.0,2665.8060384434266
13000,6878,114066.0,2538.831726883219
14000,7025,113038.0,2412.1089914306344
16000,7253,113182.0,2182.9921348918488
17000,7386,113140.0,2066.5772462203836
19000,7624,114431.0,1839.3052321648424
20000,7734,113360.0,1742.6121252369408
21000,7829,113368.0,1657.454022707709
23000,8068,114260.0,1479.90373001904
24000,8187,113467.0,1394.2742906813428
26000,8412,113543.0,1250.2813522835104
28000,8690,112700.0,1114.3406140326547
29000,8884,112229.0,1050.1782243402313
30000,9013,112532.0,986.4494042485265
31000,9139,112769.0,925.9394750518992
34000,9525,112341.0,763.4130388615944
36000,9878,110264.0,680.8850525579514
37000,10028,110219.0,640.0142262126561
38000,10184,109598.0,601.3561107089924
41000,10673,108235.0,500.2850763980364
43000,10921,107250.0,449.60649668035165
44000,11119,106511.0,425.0768360118544
45000,11242,106270.0,402.9720775306758
46000,11378,105604.0,376.25377257612206
47000,11528,105113.0,352.46826068043106
48000,11666,105313.0,333.6717874034578
51000,12075,103181.0,281.0265789357098
52000,12218,103542.0,262.3674013235359
54000,12548,100793.0,232.2326605118065
56000,12881,100359.0,205.8676920376992
57000,13046,100126.0,194.09170345275166
61000,13592,99972.0,155.82284684993292
64000,14031,97538.0,132.90197272977193
66000,14293,96398.0,119.70215059881036
67000,14454,95946.0,111.96689404912938
68000,14610,95316.0,105.75238634296464
69000,14812,95230.0,99.77298680365264
71000,15164,93842.0,87.20753545241453
72000,15308,93471.0,82.47440087238262
75000,16049,90807.0,70.55412510253522
76000,16167,90777.0,66.67815059868404
77000,16288,90542.0,62.78237064334986
78000,16399,90419.0,59.565210169396046
79000,16521,90224.0,56.4959546499404
81000,16867,89052.0,50.22752363760768
82000,17010,88714.0,47.4587219139192
84000,17324,88272.0,42.40026810784921
85000,17431,88243.0,40.21950372831027
86000,17581,87648.0,38.37283146224793
87000,17732,87122.0,36.53414270812558
88000,17918,86763.0,34.32740877816952
89000,18088,86391.0,32.30884703091368
90000,18324,85888.0,30.427234966785708
91000,18465,85600.0,28.658070582336975
92000,18608,85406.0,27.14064389389167
93000,18739,85170.0,25.66503561869649
94000,18871,85083.0,24.340142294655237
96000,19201,84488.0,21.598437157819923
97000,19386,83804.0,20.446632890174275
99000,19739,83039.0,18.21439904677695
100000,19956,82685.0,17.14847798595051
104000,20610,81508.0,13.579995037740394
106000,20914,81162.0,12.23245335991011
109000,21328,80198.0,10.442506301593168
110000,21481,79653.0,9.870808901480776
113000,21999,78573.0,8.163494378947282
115000,22281,78046.0,7.290460076408819
116000,22424,77608.0,6.896154065953048
117000,22557,77365.0,6.567028383229554
121000,23210,76188.0,5.184895118000024
122000,23350,75839.0,4.906431293109075
123000,23497,75481.0,4.630403244427864
124000,23677,74828.0,4.345934402357981
126000,23994,74193.0,3.856788404224148
128000,24334,73729.0,3.4674848261273863
130000,24628,73033.0,3.0839882224694994
132000,25000,72213.0,2.7415343663587355
133000,25188,72142.0,2.567966861051586
134000,25387,72029.0,2.410444851030308
135000,25595,71963.0,2.250849928144146
136000,25804,71780.0,2.127835105675977
141000,26695,70438.0,1.5912033431409647
144000,27155,70059.0,1.3602693193157156
145000,27353,69829.0,1.2775952165771558
147000,27720,69771.0,1.127241292146901
149000,28160,69566.0,0.9959752441399593
