Iteration,Time(ms),Cost
0,3,54257.0
1000,1799,50252.0
2000,2713,47344.0
3000,3629,44531.0
4000,4436,42257.0
5000,5284,41010.0
6000,6126,38775.0
7000,7012,36960.0
8000,7860,35124.0
9000,8683,33690.0
10000,9444,32142.0
11000,10232,30550.0
12000,10960,29498.0
13000,11742,29336.0
14000,12409,28999.0
15000,13282,27739.0
16000,14047,27764.0
17000,14836,26932.0
18000,15528,26840.0
19000,16245,26464.0
20000,16916,26724.0
21000,17603,26442.0
22000,18249,26563.0
23000,18925,26558.0
24000,19592,26572.0
25000,20251,26211.0
26000,20983,25646.0
27000,21718,26052.0
28000,22494,26149.0
29000,23285,25901.0
30000,24032,25621.0
31000,24871,25460.0
32000,25524,24860.0
33000,26165,24711.0
34000,26801,24242.0
35000,27441,24052.0
36000,28069,24120.0
37000,28785,23670.0
38000,29686,23507.0
39000,30503,23674.0
40000,31235,23638.0
41000,32048,24066.0
42000,32905,23858.0
43000,33710,23585.0
44000,34582,23445.0
45000,35460,23218.0
46000,36316,23298.0
47000,37099,23353.0
48000,37875,22892.0
49000,38700,22761.0
50000,39523,22541.0
51000,40306,22235.0
52000,41115,22079.0
53000,41870,22079.0
54000,42555,21785.0
55000,43220,21699.0
56000,43947,21458.0
57000,44651,21415.0
58000,45325,21366.0
59000,46045,21242.0
60000,46835,21052.0
61000,47553,21018.0
62000,48310,20943.0
63000,49040,20888.0
64000,49881,20773.0
65000,50697,20713.0
66000,51450,20839.0
67000,52161,20744.0
68000,52952,20739.0
69000,53741,20734.0
70000,54513,20718.0
71000,55223,20775.0
72000,55942,20599.0
73000,56670,20381.0
74000,57378,20365.0
75000,58115,20171.0
76000,59020,19771.0
77000,59764,19636.0
78000,60643,19815.0
79000,61387,19766.0
80000,62098,19327.0
81000,62937,19587.0
82000,63715,19407.0
83000,64519,19330.0
84000,65299,19164.0
85000,66008,19149.0
86000,66841,18959.0
87000,67613,18262.0
88000,68384,18569.0
89000,69165,18631.0
90000,69910,18534.0
91000,70768,18535.0
92000,71545,18731.0
