iteration,time_sec,current_cost,best_cost,hard_violations,improvements
100,0.00,56868,56513,0,7
200,0.00,55471,55471,0,14
300,1.00,55756,55403,0,15
400,1.00,55795,55403,0,15
500,1.00,56011,55403,0,15
600,1.00,56011,55403,0,15
700,1.00,56011,55403,0,15
800,1.00,55983,55403,0,15
900,1.00,55779,55403,0,15
1000,2.00,55746,55403,0,15
1100,2.00,55353,55353,0,16
1200,2.00,55173,55173,0,17
1300,2.00,55173,55173,0,17
1400,2.00,55351,55173,0,17
1500,2.00,55101,55101,0,18
1600,2.00,54656,54656,0,19
1700,2.00,54656,54656,0,19
1800,2.00,54656,54656,0,19
1900,2.00,54656,54656,0,19
2000,2.00,54656,54656,0,19
2100,2.00,54656,54656,0,19
2200,2.00,54656,54656,0,19
2300,3.00,54698,54656,0,19
2400,3.00,54625,54625,0,20
2500,3.00,54625,54625,0,20
2600,3.00,54625,54625,0,20
2700,3.00,54625,54625,0,20
2800,3.00,54625,54625,0,20
2900,3.00,54939,54625,0,20
3000,3.00,55038,54625,0,20
3100,3.00,54998,54625,0,20
3200,3.00,54988,54625,0,20
3300,3.00,54988,54625,0,20
3400,3.00,55130,54625,0,20
3500,4.00,55200,54625,0,20
3600,4.00,55200,54625,0,20
3700,4.00,55200,54625,0,20
3800,4.00,55200,54625,0,20
3900,4.00,55200,54625,0,20
4000,4.00,55210,54625,0,20
4100,4.00,55210,54625,0,20
4200,4.00,55210,54625,0,20
4300,4.00,55226,54625,0,20
4400,4.00,55226,54625,0,20
4500,4.00,55354,54625,0,20
4600,4.00,55354,54625,0,20
4700,4.00,55354,54625,0,20
4800,5.00,55354,54625,0,20
4900,5.00,55354,54625,0,20
5000,5.00,55051,54625,0,20
5100,5.00,55051,54625,0,20
5200,5.00,55051,54625,0,20
5300,5.00,55051,54625,0,20
5400,5.00,55051,54625,0,20
5500,5.00,55051,54625,0,20
5600,5.00,55051,54625,0,20
5700,5.00,55051,54625,0,20
5800,5.00,55187,54625,0,20
5900,5.00,55187,54625,0,20
6000,5.00,55187,54625,0,20
6100,5.00,55187,54625,0,20
6200,5.00,55187,54625,0,20
6300,5.00,55187,54625,0,20
6400,6.00,55187,54625,0,20
6500,6.00,55156,54625,0,20
6600,6.00,55156,54625,0,20
6700,6.00,55156,54625,0,20
6800,6.00,55459,54625,0,20
6900,6.00,55595,54625,0,20
7000,6.00,55595,54625,0,20
7100,6.00,55595,54625,0,20
7200,6.00,55595,54625,0,20
7300,6.00,55595,54625,0,20
7400,6.00,55595,54625,0,20
7500,6.00,55360,54625,0,20
7600,6.00,55360,54625,0,20
7700,6.00,55232,54625,0,20
7800,6.00,55232,54625,0,20
7900,6.00,55232,54625,0,20
8000,6.00,55232,54625,0,20
8100,6.00,55232,54625,0,20
8200,7.00,55232,54625,0,20
8300,7.00,55232,54625,0,20
8400,7.00,55232,54625,0,20
8500,7.00,55232,54625,0,20
8600,7.00,55232,54625,0,20
8700,7.00,55232,54625,0,20
8800,7.00,55232,54625,0,20
8900,7.00,55232,54625,0,20
9000,7.00,55232,54625,0,20
9100,7.00,55232,54625,0,20
9200,7.00,55232,54625,0,20
9300,7.00,55232,54625,0,20
9400,7.00,55232,54625,0,20
9500,7.00,55163,54625,0,20
9600,7.00,55211,54625,0,20
9700,7.00,55211,54625,0,20
9800,7.00,55158,54625,0,20
9900,7.00,55158,54625,0,20
10000,7.00,55158,54625,0,20
10100,7.00,54885,54625,0,20
10200,7.00,54642,54625,0,20
10300,7.00,54642,54625,0,20
10400,8.00,54642,54625,0,20
10500,8.00,54642,54625,0,20
10600,8.00,54642,54625,0,20
10700,8.00,54642,54625,0,20
10800,8.00,54534,54534,0,21
10900,8.00,54534,54534,0,21
11000,8.00,54534,54534,0,21
11100,8.00,54534,54534,0,21
11200,8.00,54534,54534,0,21
11300,8.00,54534,54534,0,21
11400,8.00,54534,54534,0,21
11500,8.00,54534,54534,0,21
11600,8.00,54587,54534,0,21
11700,8.00,54451,54451,0,22
11800,8.00,54451,54451,0,22
11900,8.00,54451,54451,0,22
12000,8.00,54451,54451,0,22
12100,8.00,54451,54451,0,22
12200,8.00,54451,54451,0,22
12300,8.00,54451,54451,0,22
12400,8.00,54451,54451,0,22
12500,8.00,54460,54451,0,22
12600,8.00,54596,54451,0,22
12700,9.00,54596,54451,0,22
12800,9.00,54596,54451,0,22
12900,9.00,54491,54451,0,22
13000,9.00,54491,54451,0,22
13100,9.00,54491,54451,0,22
13200,9.00,54491,54451,0,22
13300,9.00,54491,54451,0,22
13400,9.00,54491,54451,0,22
13500,9.00,54491,54451,0,22
13600,9.00,54491,54451,0,22
13700,9.00,54491,54451,0,22
13800,9.00,54482,54451,0,22
13900,9.00,54482,54451,0,22
14000,9.00,54482,54451,0,22
14100,9.00,54482,54451,0,22
14200,9.00,54491,54451,0,22
14300,9.00,54491,54451,0,22
14400,9.00,54491,54451,0,22
14500,9.00,54482,54451,0,22
14600,9.00,54482,54451,0,22
14700,9.00,54482,54451,0,22
14800,9.00,54700,54451,0,22
14900,9.00,54700,54451,0,22
15000,10.00,54700,54451,0,22
15100,10.00,54700,54451,0,22
15200,10.00,54700,54451,0,22
15300,10.00,54700,54451,0,22
15400,10.00,54995,54451,0,22
15500,10.00,54942,54451,0,22
15600,10.00,54942,54451,0,22
15700,10.00,54942,54451,0,22
15800,10.00,54806,54451,0,22
15900,10.00,54806,54451,0,22
16000,10.00,54806,54451,0,22
16100,10.00,54806,54451,0,22
16200,10.00,54806,54451,0,22
16300,10.00,54806,54451,0,22
16400,10.00,54806,54451,0,22
16500,10.00,54806,54451,0,22
16600,10.00,54806,54451,0,22
16700,10.00,54806,54451,0,22
16800,10.00,54806,54451,0,22
16900,10.00,54806,54451,0,22
17000,10.00,54591,54451,0,22
17100,11.00,54591,54451,0,22
17200,11.00,54591,54451,0,22
17300,11.00,54591,54451,0,22
17400,11.00,54591,54451,0,22
17500,11.00,54591,54451,0,22
17600,11.00,54591,54451,0,22
17700,11.00,54591,54451,0,22
17800,11.00,54591,54451,0,22
17900,11.00,54591,54451,0,22
18000,11.00,54591,54451,0,22
18100,11.00,54591,54451,0,22
18200,11.00,54591,54451,0,22
18300,11.00,54591,54451,0,22
18400,11.00,54591,54451,0,22
18500,11.00,54591,54451,0,22
18600,11.00,54591,54451,0,22
18700,11.00,54591,54451,0,22
18800,11.00,54591,54451,0,22
18900,11.00,54591,54451,0,22
19000,11.00,54591,54451,0,22
19100,11.00,54806,54451,0,22
19200,12.00,54806,54451,0,22
19300,12.00,54806,54451,0,22
19400,12.00,54806,54451,0,22
19500,12.00,54806,54451,0,22
19600,12.00,54890,54451,0,22
19700,12.00,54890,54451,0,22
19800,12.00,54890,54451,0,22
19900,12.00,54890,54451,0,22
20000,12.00,54890,54451,0,22
20100,12.00,55210,54451,0,22
20200,12.00,55210,54451,0,22
20300,12.00,55210,54451,0,22
20400,12.00,55210,54451,0,22
20500,12.00,55346,54451,0,22
20600,12.00,55346,54451,0,22
20700,12.00,55346,54451,0,22
20800,12.00,55346,54451,0,22
20900,12.00,55346,54451,0,22
21000,13.00,55346,54451,0,22
21100,13.00,55346,54451,0,22
21200,13.00,55346,54451,0,22
21300,13.00,55346,54451,0,22
21400,13.00,55346,54451,0,22
21500,13.00,55210,54451,0,22
21600,13.00,55346,54451,0,22
21700,13.00,55346,54451,0,22
21800,13.00,55346,54451,0,22
21900,13.00,55346,54451,0,22
22000,13.00,55346,54451,0,22
22100,13.00,55346,54451,0,22
22200,13.00,55230,54451,0,22
22300,13.00,55230,54451,0,22
22400,13.00,55230,54451,0,22
22500,13.00,55230,54451,0,22
22600,14.00,55230,54451,0,22
22700,14.00,55094,54451,0,22
22800,14.00,55094,54451,0,22
22900,14.00,55094,54451,0,22
23000,14.00,55094,54451,0,22
23100,14.00,55094,54451,0,22
23200,14.00,55341,54451,0,22
23300,14.00,55341,54451,0,22
23400,14.00,55341,54451,0,22
23500,14.00,55341,54451,0,22
23600,14.00,55341,54451,0,22
23700,14.00,55341,54451,0,22
23800,14.00,55341,54451,0,22
23900,14.00,55386,54451,0,22
24000,14.00,55386,54451,0,22
24100,15.00,55386,54451,0,22
24200,15.00,55341,54451,0,22
24300,15.00,55341,54451,0,22
24400,15.00,55341,54451,0,22
24500,15.00,55341,54451,0,22
24600,15.00,55341,54451,0,22
24700,15.00,55341,54451,0,22
24800,15.00,55341,54451,0,22
24900,15.00,55341,54451,0,22
25000,15.00,55341,54451,0,22
25100,15.00,55341,54451,0,22
25200,15.00,55341,54451,0,22
25300,15.00,55341,54451,0,22
25400,15.00,55341,54451,0,22
25500,15.00,55341,54451,0,22
25600,16.00,55341,54451,0,22
25700,16.00,55341,54451,0,22
25800,16.00,55341,54451,0,22
25900,16.00,55341,54451,0,22
26000,16.00,55341,54451,0,22
26100,16.00,55341,54451,0,22
26200,16.00,55341,54451,0,22
26300,16.00,55341,54451,0,22
26400,16.00,55341,54451,0,22
26500,16.00,55341,54451,0,22
26600,16.00,55341,54451,0,22
