iteration,time_ms,violations,status
0,0,13,INITIAL
1,52,6,NO_IMPROVEMENT
501,233,10,NO_IMPROVEMENT
1001,439,17,NO_IMPROVEMENT
1501,642,20,NO_IMPROVEMENT
2001,946,19,NO_IMPROVEMENT
2501,1322,3,NO_IMPROVEMENT
3001,1530,9,NO_IMPROVEMENT
3501,1727,14,NO_IMPROVEMENT
4001,1897,8,NO_IMPROVEMENT
4501,2054,5,NO_IMPROVEMENT
5001,2176,24,NO_IMPROVEMENT
5501,2254,29,NO_IMPROVEMENT
6001,2335,9,NO_IMPROVEMENT
6501,2418,10,NO_IMPROVEMENT
7001,2516,13,NO_IMPROVEMENT
7501,2597,9,NO_IMPROVEMENT
8001,2686,14,NO_IMPROVEMENT
8501,2761,2,NO_IMPROVEMENT
9001,2822,3,NO_IMPROVEMENT
9501,2891,6,NO_IMPROVEMENT
10001,2941,17,NO_IMPROVEMENT
10501,2997,15,NO_IMPROVEMENT
11001,3043,30,NO_IMPROVEMENT
11501,3092,10,NO_IMPROVEMENT
12001,3138,12,NO_IMPROVEMENT
12501,3184,19,NO_IMPROVEMENT
13001,3240,13,NO_IMPROVEMENT
13501,3288,15,NO_IMPROVEMENT
14001,3343,11,NO_IMPROVEMENT
14501,3391,16,NO_IMPROVEMENT
15001,3437,17,NO_IMPROVEMENT
15501,3560,14,NO_IMPROVEMENT
16001,3604,12,NO_IMPROVEMENT
16501,3652,18,NO_IMPROVEMENT
17001,3698,20,NO_IMPROVEMENT
17501,3831,2,NO_IMPROVEMENT
18001,3888,14,NO_IMPROVEMENT
18501,3945,28,NO_IMPROVEMENT
19001,3988,32,NO_IMPROVEMENT
19501,4037,18,NO_IMPROVEMENT
20001,4077,25,NO_IMPROVEMENT
20501,4143,15,NO_IMPROVEMENT
21001,4193,10819,NO_IMPROVEMENT
21501,4262,7,NO_IMPROVEMENT
21891,4303,0,FINAL
